,Date,C,C#,C++,COBOL,Classic Visual Basic,Dart,Delphi/Object Pascal,Fortran,Go,Groovy,Java,JavaScript,Julia,Kotlin,Lua,MATLAB,Objective-C,PHP,PL/SQL,Perl,Prolog,Python,R,Ruby,Rust,SQL,Scratch,Swift,Transact-SQL,Visual Basic,Assembly
0,2020-09-01,15.95,4.58,7.11,,,0.77,,,1.46,0.99,13.48,2.54,,,,1.1,0.85,2.49,,1.3,,10.47,2.37,1.24,0.92,1.76,,1.38,,4.12,1.3
1,2020-10-01,16.95,4.16,6.94,,0.77,,,,1.16,1.23,12.56,2.14,,,,1.12,0.86,2.09,0.77,1.43,,11.28,1.99,1.16,,1.57,,1.09,,3.97,1.08
2,2020-11-01,16.21,4.67,7.6,,,,0.86,,1.36,1.51,11.68,2.03,,,,1.1,0.84,1.79,,1.51,,12.12,1.64,1.22,,1.54,,1.35,0.82,4.01,1.17
3,2020-12-01,16.48,4.2,6.91,,,,0.87,,1.14,1.53,12.53,2.35,,,,1.1,0.81,2.21,0.78,1.2,,12.21,1.6,1.16,,1.53,,1.22,,3.92,1.35
4,2021-01-01,17.38,3.95,7.56,,0.79,,0.79,,1.41,1.84,11.96,2.2,,,,1.15,1.0,1.99,,1.02,,11.72,1.9,1.3,,1.61,,1.43,,3.84,1.64
5,2021-02-01,16.34,4.44,6.88,,1.01,,1.02,,1.28,1.5,11.29,2.27,,,,1.06,0.89,1.75,,0.93,,10.86,1.56,1.23,,1.72,,1.13,,4.33,1.65
6,2021-03-01,15.33,4.97,6.52,,1.26,,1.2,,1.31,1.19,10.45,2.11,,,,1.04,0.91,2.07,,1.15,,10.31,1.25,1.18,,1.87,,0.95,,4.85,1.97
7,2021-04-01,14.32,4.91,7.14,,1.54,,1.23,0.91,1.22,1.04,11.23,2.44,,,,0.99,,1.84,,0.99,,11.03,1.12,1.23,,1.83,,1.19,,4.55,2.32
8,2021-05-01,13.38,4.41,7.81,,1.41,,1.21,0.83,1.22,1.25,11.74,2.45,,,,1.23,,1.86,,1.04,,11.87,1.38,1.5,,1.71,,1.14,,4.02,2.43
9,2021-06-01,12.54,4.33,7.36,,1.72,,1.06,1.07,0.95,1.29,11.54,2.33,,,,1.05,,2.21,,1.18,,11.84,1.2,1.23,,1.88,,1.1,,4.01,2.05
10,2021-07-01,11.62,4.83,8.01,,1.39,,0.85,1.12,1.17,1.09,11.17,2.71,,,,0.88,,2.58,,0.9,,10.95,1.32,0.95,,1.53,,1.07,,4.5,2.4
11,2021-08-01,12.57,5.14,7.36,,1.23,,,1.14,0.9,1.36,10.43,2.95,,,,0.98,,2.19,,0.78,0.8,11.86,1.05,1.01,,1.47,,0.98,,4.67,2.03
