Year,Month,Assembly Language,Assmebly Language,Assmembly Language,C,C#,C++,COBOL,Classic Visual Basic,Dart,Delphi/Object Pascal,Fortran,Go,Groovy,Java,JavaScript,Julia,Kotlin,Lua,MATLAB,Objective-C,PHP,PL/SQL,Perl,Prolog,Python,R,Ruby,Rust,SQL,Scratch,Swift,Transact-SQL,Visual Basic
2020,Change(%),0.02750000000000001,,,0.52,0.31,1.2225,,-0.46,0.13,-0.345,,0.24,0.10499999999999998,-4.1975,0.2075,,,,0.14,-0.5925,0.235,-0.009999999999999998,0.41000000000000003,,1.7374999999999998,0.8300000000000001,-0.08,0.55,-0.255,,-0.14500000000000002,0.44,0.0025000000000000022
2020,Dec 2019,14.0,,,2.0,5.0,4.0,,,,12.0,,15.0,22.0,1.0,7.0,,,,17.0,13.0,8.0,24.0,20.0,,3.0,16.0,11.0,,9.0,,10.0,,6.0
2020,Dec 2020,12.0,,,1.0,5.0,4.0,,,,18.0,,16.0,11.0,2.0,7.0,,,,17.0,19.0,8.0,20.0,14.0,,3.0,9.0,15.0,,10.0,,13.0,,6.0
2020,Nov 2019,15.0,,,2.0,5.0,4.0,,,,13.0,,20.0,14.0,1.0,7.0,,,,19.0,12.0,8.0,,21.0,,3.0,16.0,11.0,,9.0,,10.0,32.0,6.0
2020,Nov 2020,16.0,,,1.0,5.0,4.0,,,,18.0,,13.0,11.0,3.0,7.0,,,,17.0,19.0,8.0,,12.0,,2.0,9.0,15.0,,10.0,,14.0,20.0,6.0
2020,Oct 2019,14.0,,,2.0,5.0,4.0,,16.0,,,,17.0,11.0,1.0,7.0,,,,20.0,10.0,9.0,22.0,19.0,,3.0,15.0,13.0,,8.0,,12.0,,6.0
2020,Oct 2020,17.0,,,1.0,5.0,4.0,,19.0,,,,14.0,12.0,2.0,7.0,,,,15.0,18.0,8.0,20.0,11.0,,3.0,9.0,13.0,,10.0,,16.0,,6.0
2020,Ratings(%),1.225,,,16.3975,4.4025,7.140000000000001,,0.77,0.77,0.865,,1.28,1.315,12.5625,2.265,,,,1.105,0.84,2.145,0.775,1.3599999999999999,,11.52,1.9,1.1949999999999998,0.92,1.6,,1.26,0.82,4.005
2020,Sep 2019,12.0,,,2.0,5.0,4.0,,,24.0,,,14.0,11.0,1.0,7.0,,,,18.0,10.0,9.0,,20.0,,3.0,19.0,15.0,33.0,8.0,,16.0,,6.0
2020,Sep 2020,14.0,,,1.0,5.0,4.0,,,20.0,,,11.0,17.0,2.0,7.0,,,,16.0,19.0,8.0,,13.0,,3.0,9.0,15.0,18.0,10.0,,12.0,,6.0
2021,Apr 2020,14.0,,,2.0,5.0,4.0,,19.0,,22.0,34.0,12.0,48.0,1.0,7.0,,,,18.0,,8.0,,16.0,,3.0,10.0,13.0,,9.0,,11.0,,6.0
2021,Apr 2021,8.0,,,1.0,5.0,4.0,,11.0,,12.0,20.0,14.0,17.0,2.0,7.0,,,,19.0,,9.0,,18.0,,3.0,16.0,13.0,,10.0,,15.0,,6.0
2021,Aug 2020,14.0,,,1.0,5.0,4.0,,17.0,,,42.0,11.0,18.0,2.0,7.0,,,,16.0,,9.0,,13.0,36.0,3.0,8.0,15.0,,10.0,,12.0,,6.0
2021,Aug 2021,9.0,,,1.0,5.0,4.0,,12.0,,,13.0,18.0,11.0,3.0,7.0,,,,17.0,,8.0,,20.0,19.0,2.0,14.0,15.0,,10.0,,16.0,,6.0
2021,Change(%),0.9199999999999999,1.12,1.35,-3.3233333333333337,0.21583333333333335,0.8583333333333333,,0.6266666666666666,,0.34909090909090906,0.7055555555555555,-0.055,0.5975,-4.058333333333334,0.06999999999999999,,,,0.07916666666666666,0.1466666666666667,-0.2041666666666667,,-0.04666666666666666,0.41,1.4375,-0.4683333333333333,0.1475,,0.11666666666666665,,-0.23083333333333333,,-0.011666666666666678
2021,Dec 2020,12.0,,,1.0,5.0,4.0,,23.0,,18.0,32.0,16.0,11.0,2.0,7.0,,,,17.0,,8.0,,14.0,,3.0,9.0,15.0,,10.0,,13.0,,6.0
2021,Dec 2021,8.0,,,2.0,5.0,4.0,,13.0,,16.0,17.0,19.0,14.0,3.0,7.0,,,,20.0,,12.0,,18.0,,1.0,11.0,15.0,,9.0,,10.0,,6.0
2021,Feb 2020,12.0,,,2.0,5.0,4.0,,22.0,,18.0,,11.0,26.0,1.0,7.0,,,,16.0,20.0,8.0,,19.0,,3.0,13.0,15.0,,9.0,,10.0,,6.0
2021,Feb 2021,10.0,,,1.0,5.0,4.0,,18.0,,17.0,,13.0,12.0,2.0,7.0,,,,16.0,20.0,8.0,,19.0,,3.0,11.0,14.0,,9.0,,15.0,,6.0
2021,Jan 2020,15.0,,,2.0,5.0,4.0,,16.0,,12.0,,14.0,23.0,1.0,7.0,,,,20.0,13.0,8.0,,19.0,,3.0,18.0,11.0,,10.0,,9.0,,6.0
2021,Jan 2021,11.0,,,1.0,5.0,4.0,,20.0,,19.0,,14.0,10.0,2.0,7.0,,,,16.0,18.0,8.0,,17.0,,3.0,9.0,15.0,,12.0,,13.0,,6.0
2021,Jul 2020,13.0,,,1.0,5.0,4.0,,20.0,,30.0,50.0,12.0,24.0,2.0,7.0,,,,15.0,,9.0,,14.0,,3.0,8.0,16.0,,11.0,,10.0,,6.0
2021,Jul 2021,9.0,,,1.0,5.0,4.0,,11.0,,20.0,14.0,13.0,15.0,2.0,7.0,,,,19.0,,8.0,,18.0,,3.0,12.0,17.0,,10.0,,16.0,,6.0
2021,Jun 2020,14.0,,,1.0,5.0,4.0,,19.0,,22.0,37.0,12.0,31.0,2.0,7.0,,,,15.0,,8.0,,15.0,,3.0,9.0,13.0,,10.0,,11.0,,6.0
2021,Jun 2021,9.0,,,1.0,5.0,4.0,,11.0,,18.0,17.0,20.0,12.0,3.0,7.0,,,,19.0,,8.0,,15.0,,2.0,14.0,13.0,,10.0,,16.0,,6.0
2021,Mar 2020,12.0,,,2.0,5.0,4.0,,18.0,,20.0,,10.0,36.0,1.0,7.0,,,,15.0,19.0,8.0,,17.0,,3.0,11.0,14.0,,9.0,,13.0,,6.0
2021,Mar 2021,9.0,,,1.0,5.0,4.0,,12.0,,14.0,,11.0,15.0,2.0,7.0,,,,18.0,20.0,8.0,,17.0,,3.0,13.0,16.0,,10.0,,19.0,,6.0
